"","YearEnd","LocationDesc","Question","Data_Value"
"348",2019,"Illinois","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"349",2017,"Colorado","Percent of adults in the state who usually biked or walked to work in the last week",3.8
"350",2019,"Alaska","Percent of adults in the state who usually biked or walked to work in the last week",7.8
"351",2011,"Colorado","Percent of adults in the state who usually biked or walked to work in the last week",4.3
"352",2014,"South Dakota","Percent of adults in the state who usually biked or walked to work in the last week",4.6
"353",2013,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"354",2019,"Georgia","Percent of adults in the state who usually biked or walked to work in the last week",1.7
"355",2015,"Alaska","Percent of adults in the state who usually biked or walked to work in the last week",9
"356",2019,"Pennsylvania","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"357",2016,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.5
"358",2012,"Kentucky","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"359",2016,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2
"360",2018,"North Carolina","Percent of adults in the state who usually biked or walked to work in the last week",2
"361",2013,"North Dakota","Percent of adults in the state who usually biked or walked to work in the last week",5
"362",2012,"Pennsylvania","Percent of adults in the state who usually biked or walked to work in the last week",4.3
"363",2010,"Virginia","Percent of adults in the state who usually biked or walked to work in the last week",3
"364",2019,"Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"365",2011,"Georgia","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"366",2015,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",3
"367",2010,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"368",2015,"Kentucky","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"369",2012,"Tennessee","Percent of adults in the state who usually biked or walked to work in the last week",1.4
"370",2017,"South Dakota","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"371",2011,"South Carolina","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"372",2016,"Florida","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"373",2017,"Oregon","Percent of adults in the state who usually biked or walked to work in the last week",5.7
"374",2014,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",4
"375",2015,"Texas","Percent of adults in the state who usually biked or walked to work in the last week",1.8
"376",2010,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",3.2
"377",2011,"Indiana","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"378",2013,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"379",2013,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"380",2013,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"381",2016,"Illinois","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"382",2018,"Kentucky","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"383",2010,"Kansas","Percent of adults in the state who usually biked or walked to work in the last week",3
"384",2016,"Wyoming","Percent of adults in the state who usually biked or walked to work in the last week",5.2
"385",2019,"Missouri","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"386",2018,"Pennsylvania","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"387",2012,"Massachusetts","Percent of adults in the state who usually biked or walked to work in the last week",5.7
"388",2016,"Maryland","Percent of adults in the state who usually biked or walked to work in the last week",2.8
"389",2018,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"390",2016,"Rhode Island","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"391",2010,"New Jersey","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"392",2016,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"393",2012,"Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"394",2010,"Hawaii","Percent of adults in the state who usually biked or walked to work in the last week",5.4
"395",2011,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4
"396",2013,"Kansas","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"397",2017,"Iowa","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"398",2015,"Washington","Percent of adults in the state who usually biked or walked to work in the last week",4.7
"399",2018,"Michigan","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"400",2012,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"401",2019,"Maryland","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"402",2010,"South Dakota","Percent of adults in the state who usually biked or walked to work in the last week",4.9
"403",2014,"Oregon","Percent of adults in the state who usually biked or walked to work in the last week",6.6
"404",2018,"Rhode Island","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"405",2014,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.4
"406",2018,"Montana","Percent of adults in the state who usually biked or walked to work in the last week",6.7
"407",2011,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.2
"408",2016,"Texas","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"409",2011,"North Carolina","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"410",2018,"Connecticut","Percent of adults in the state who usually biked or walked to work in the last week",2.8
"411",2013,"Tennessee","Percent of adults in the state who usually biked or walked to work in the last week",1.6
"412",2019,"Vermont","Percent of adults in the state who usually biked or walked to work in the last week",5.8
"413",2019,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"414",2011,"Arkansas","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"415",2011,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"416",2016,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"417",2019,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"418",2011,"California","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"419",2010,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",3.8
"420",2015,"Pennsylvania","Percent of adults in the state who usually biked or walked to work in the last week",4.4
"421",2010,"Montana","Percent of adults in the state who usually biked or walked to work in the last week",6.3
"422",2014,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"423",2012,"Wyoming","Percent of adults in the state who usually biked or walked to work in the last week",4.4
"424",2016,"New York","Percent of adults in the state who usually biked or walked to work in the last week",6.9
"425",2017,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.6
"426",2013,"National","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"427",2013,"Alabama","Percent of adults in the state who usually biked or walked to work in the last week",1.1
"428",2012,"District of Columbia","Percent of adults in the state who usually biked or walked to work in the last week",16
"429",2017,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"430",2013,"Idaho","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"431",2012,"New York","Percent of adults in the state who usually biked or walked to work in the last week",7
"432",2017,"Vermont","Percent of adults in the state who usually biked or walked to work in the last week",6.4
"433",2010,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.5
"434",2010,"District of Columbia","Percent of adults in the state who usually biked or walked to work in the last week",14.9
"435",2011,"Michigan","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"436",2015,"Missouri","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"437",2012,"Illinois","Percent of adults in the state who usually biked or walked to work in the last week",3.8
"438",2016,"Alabama","Percent of adults in the state who usually biked or walked to work in the last week",1.3
"439",2017,"Delaware","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"440",2014,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.8
"441",2014,"North Carolina","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"442",2018,"Florida","Percent of adults in the state who usually biked or walked to work in the last week",2
"443",2019,"New York","Percent of adults in the state who usually biked or walked to work in the last week",6.9
"444",2013,"Virginia","Percent of adults in the state who usually biked or walked to work in the last week",3
"445",2014,"Connecticut","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"446",2015,"Delaware","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"447",2017,"Idaho","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"448",2016,"Nebraska","Percent of adults in the state who usually biked or walked to work in the last week",3.1
"449",2011,"Nevada","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"450",2016,"Arizona","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"451",2015,"Michigan","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"452",2012,"Texas","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"453",2015,"North Dakota","Percent of adults in the state who usually biked or walked to work in the last week",4
"454",2018,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"455",2015,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"456",2018,"District of Columbia","Percent of adults in the state who usually biked or walked to work in the last week",17.6
"457",2017,"Pennsylvania","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"458",2010,"Ohio","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"459",2013,"Florida","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"460",2014,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",3.2
"461",2012,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"462",2010,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",3
"463",2010,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"464",2017,"North Carolina","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"465",2013,"New Jersey","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"466",2013,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.6
"467",2010,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.2
"468",2017,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"469",2015,"District of Columbia","Percent of adults in the state who usually biked or walked to work in the last week",18.1
"470",2019,"California","Percent of adults in the state who usually biked or walked to work in the last week",3.5
"471",2015,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",3.2
"472",2013,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",4.3
"473",2016,"District of Columbia","Percent of adults in the state who usually biked or walked to work in the last week",18.3
"474",2019,"Alabama","Percent of adults in the state who usually biked or walked to work in the last week",1.3
"475",2014,"National","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"476",2014,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"477",2010,"California","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"478",2015,"Nevada","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"479",2012,"Maryland","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"480",2012,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"481",2016,"Minnesota","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"482",2019,"Nevada","Percent of adults in the state who usually biked or walked to work in the last week",1.8
"483",2015,"Arkansas","Percent of adults in the state who usually biked or walked to work in the last week",1.9
"484",2016,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"485",2011,"Montana","Percent of adults in the state who usually biked or walked to work in the last week",6.1
"486",2013,"Ohio","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"487",2018,"Illinois","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"488",2018,"West Virginia","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"489",2017,"Nevada","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"490",2011,"Rhode Island","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"491",2015,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"492",2017,"Tennessee","Percent of adults in the state who usually biked or walked to work in the last week",1.4
"493",2017,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.4
"494",2018,"Puerto Rico","Percent of adults in the state who usually biked or walked to work in the last week",2.4
"495",2016,"Indiana","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"496",2018,"Colorado","Percent of adults in the state who usually biked or walked to work in the last week",4.2
"497",2019,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"498",2018,"North Dakota","Percent of adults in the state who usually biked or walked to work in the last week",3.6
"499",2012,"Missouri","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"500",2010,"Vermont","Percent of adults in the state who usually biked or walked to work in the last week",6.1
"501",2010,"Iowa","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"502",2011,"Arizona","Percent of adults in the state who usually biked or walked to work in the last week",3.3
"503",2013,"Rhode Island","Percent of adults in the state who usually biked or walked to work in the last week",4.6
"504",2011,"Iowa","Percent of adults in the state who usually biked or walked to work in the last week",4
"505",2011,"Florida","Percent of adults in the state who usually biked or walked to work in the last week",2.1
"506",2013,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.4
"507",2015,"Idaho","Percent of adults in the state who usually biked or walked to work in the last week",4
"508",2018,"Louisiana","Percent of adults in the state who usually biked or walked to work in the last week",2.3
"509",2019,"Mississippi","Percent of adults in the state who usually biked or walked to work in the last week",1.2
"510",2016,"Wisconsin","Percent of adults in the state who usually biked or walked to work in the last week",3.7
"511",2011,"Oklahoma","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"512",2014,"Alaska","Percent of adults in the state who usually biked or walked to work in the last week",8.9
"513",2014,"South Carolina","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"514",2014,"Iowa","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"515",2014,"California","Percent of adults in the state who usually biked or walked to work in the last week",3.9
"516",2019,"Florida","Percent of adults in the state who usually biked or walked to work in the last week",2.2
"517",2016,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.4
"518",2012,"Kansas","Percent of adults in the state who usually biked or walked to work in the last week",2.5
"519",2018,"Texas","Percent of adults in the state who usually biked or walked to work in the last week",1.7
"520",2016,"Ohio","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"521",2011,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",3
"522",2015,"Tennessee","Percent of adults in the state who usually biked or walked to work in the last week",1.3
"523",2017,"Arizona","Percent of adults in the state who usually biked or walked to work in the last week",2.8
"524",2019,"Indiana","Percent of adults in the state who usually biked or walked to work in the last week",2.7
"525",2014,"Georgia","Percent of adults in the state who usually biked or walked to work in the last week",1.8
"526",2019,"Maine","Percent of adults in the state who usually biked or walked to work in the last week",4.1
"527",2018,"New Hampshire","Percent of adults in the state who usually biked or walked to work in the last week",2.9
"528",2016,"Utah","Percent of adults in the state who usually biked or walked to work in the last week",3.4
"529",2014,"Maryland","Percent of adults in the state who usually biked or walked to work in the last week",2.6
"530",2011,"Vermont","Percent of adults in the state who usually biked or walked to work in the last week",7.1
