"","YearEnd","LocationDesc","Question","Data_Value","Age(years)"
"4091",2011,"Washington","Percent of adults aged 18 years and older who have an overweight classification",39.6,"55 - 64"
"4092",2017,"Wisconsin","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",38.8,"18 - 24"
"4093",2017,"Washington","Percent of adults aged 18 years and older who have an overweight classification",34.6,"35 - 44"
"4094",2013,"Utah","Percent of adults aged 18 years and older who have an overweight classification",25,"18 - 24"
"4095",2017,"New Jersey","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",25,"65 or older"
"4096",2017,"Minnesota","Percent of adults aged 18 years and older who have an overweight classification",40.2,"65 or older"
"4097",2017,"Utah","Percent of adults aged 18 years and older who have an overweight classification",38.2,"45 - 54"
"4098",2012,"Tennessee","Percent of adults aged 18 years and older who have obesity",27.6,"25 - 34"
"4099",2011,"New Hampshire","Percent of adults aged 18 years and older who have obesity",13.2,"18 - 24"
"4100",2017,"South Dakota","Percent of adults aged 18 years and older who have obesity",37.2,"55 - 64"
"4101",2017,"Kansas","Percent of adults aged 18 years and older who have an overweight classification",27.1,"18 - 24"
"4102",2017,"Oklahoma","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",20,"55 - 64"
"4103",2015,"Kansas","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",38.7,"65 or older"
"4104",2017,"California","Percent of adults who engage in no leisure-time physical activity",21.8,"35 - 44"
"4105",2017,"South Carolina","Percent of adults aged 18 years and older who have obesity",28.7,"65 or older"
"4106",2017,"District of Columbia","Percent of adults who engage in no leisure-time physical activity",26.7,"55 - 64"
"4107",2017,"District of Columbia","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",27.9,"35 - 44"
"4108",2014,"Arizona","Percent of adults aged 18 years and older who have an overweight classification",36.6,"35 - 44"
"4109",2014,"Ohio","Percent of adults who engage in no leisure-time physical activity",34.7,"65 or older"
"4110",2014,"Kentucky","Percent of adults who engage in no leisure-time physical activity",13.3,"18 - 24"
"4111",2017,"Oregon","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",26.3,"45 - 54"
"4112",2015,"Washington","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",29.8,"35 - 44"
"4113",2017,"Connecticut","Percent of adults who engage in no leisure-time physical activity",28.6,"65 or older"
"4114",2014,"Mississippi","Percent of adults aged 18 years and older who have an overweight classification",40.9,"55 - 64"
"4115",2017,"Massachusetts","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",44.9,"18 - 24"
"4116",2017,"North Dakota","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",22.1,"45 - 54"
"4117",2017,"Georgia","Percent of adults aged 18 years and older who have an overweight classification",32.2,"25 - 34"
"4118",2012,"South Dakota","Percent of adults aged 18 years and older who have an overweight classification",42,"65 or older"
"4119",2017,"Vermont","Percent of adults aged 18 years and older who have obesity",14.3,"18 - 24"
"4120",2017,"West Virginia","Percent of adults aged 18 years and older who have obesity",33.5,"65 or older"
"4121",2017,"Oklahoma","Percent of adults aged 18 years and older who have obesity",28.2,"18 - 24"
"4122",2017,"Utah","Percent of adults aged 18 years and older who have obesity",28.4,"35 - 44"
"4123",2013,"South Dakota","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",31,"35 - 44"
"4124",2015,"Nevada","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",33.5,"45 - 54"
"4125",2017,"Alabama","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",40,"45 - 54"
"4126",2011,"Colorado","Percent of adults aged 18 years and older who have an overweight classification",38.6,"45 - 54"
"4127",2017,"Vermont","Percent of adults aged 18 years and older who have obesity",29.6,"55 - 64"
"4128",2011,"North Carolina","Percent of adults aged 18 years and older who have obesity",25.7,"65 or older"
"4129",2017,"Mississippi","Percent of adults aged 18 years and older who have obesity",33.1,"65 or older"
"4130",2017,"California","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",36.3,"55 - 64"
"4131",2012,"New Mexico","Percent of adults aged 18 years and older who have obesity",34.7,"35 - 44"
"4132",2017,"Massachusetts","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",25.3,"18 - 24"
"4133",2017,"Maine","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",32.5,"45 - 54"
"4134",2017,"Maryland","Percent of adults aged 18 years and older who have an overweight classification",37.2,"55 - 64"
"4135",2017,"Alaska","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",62.6,"25 - 34"
"4136",2017,"Alaska","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",53.5,"18 - 24"
"4137",2017,"Montana","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",25.6,"55 - 64"
"4138",2013,"Kansas","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",20.5,"65 or older"
"4139",2015,"Wisconsin","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",39.4,"25 - 34"
"4140",2017,"Wisconsin","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",60.6,"65 or older"
"4141",2017,"Georgia","Percent of adults aged 18 years and older who have obesity",29.1,"25 - 34"
"4142",2012,"Michigan","Percent of adults who engage in no leisure-time physical activity",29.8,"65 or older"
"4143",2017,"Oklahoma","Percent of adults who engage in no leisure-time physical activity",36.2,"45 - 54"
"4144",2017,"Nevada","Percent of adults aged 18 years and older who have an overweight classification",37.1,"25 - 34"
"4145",2017,"Idaho","Percent of adults aged 18 years and older who have obesity",31.9,"35 - 44"
"4146",2017,"Michigan","Percent of adults aged 18 years and older who have obesity",37.8,"45 - 54"
"4147",2017,"New York","Percent of adults who engage in no leisure-time physical activity",27.6,"55 - 64"
"4148",2017,"District of Columbia","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",31,"18 - 24"
"4149",2017,"Kansas","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",50.6,"18 - 24"
"4150",2017,"Kentucky","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",45.1,"25 - 34"
"4151",2013,"Idaho","Percent of adults aged 18 years and older who have obesity",34.4,"45 - 54"
"4152",2017,"Kansas","Percent of adults aged 18 years and older who have obesity",36.4,"55 - 64"
"4153",2017,"National","Percent of adults aged 18 years and older who have obesity",35.9,"45 - 54"
"4154",2015,"North Carolina","Percent of adults who engage in no leisure-time physical activity",14.6,"18 - 24"
"4155",2017,"Kansas","Percent of adults who engage in no leisure-time physical activity",31.2,"55 - 64"
"4156",2017,"Connecticut","Percent of adults aged 18 years and older who have an overweight classification",27.8,"18 - 24"
"4157",2017,"New Hampshire","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",28.1,"35 - 44"
"4158",2014,"South Carolina","Percent of adults aged 18 years and older who have obesity",38,"45 - 54"
"4159",2011,"Louisiana","Percent of adults aged 18 years and older who have obesity",38.5,"35 - 44"
"4160",2017,"Louisiana","Percent of adults aged 18 years and older who have obesity",39.3,"55 - 64"
"4161",2017,"California","Percent of adults aged 18 years and older who have an overweight classification",40.3,"35 - 44"
"4162",2017,"Minnesota","Percent of adults aged 18 years and older who have an overweight classification",35.3,"35 - 44"
"4163",2017,"California","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",32.2,"35 - 44"
"4164",2017,"Wyoming","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",57.5,"18 - 24"
"4165",2011,"New Hampshire","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",26.5,"35 - 44"
"4166",2017,"Georgia","Percent of adults aged 18 years and older who have an overweight classification",37.2,"45 - 54"
"4167",2014,"Hawaii","Percent of adults aged 18 years and older who have an overweight classification",36.5,"35 - 44"
"4168",2013,"Alabama","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",44.3,"45 - 54"
"4169",2017,"Hawaii","Percent of adults aged 18 years and older who have obesity",28.5,"35 - 44"
"4170",2017,"Oregon","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",25.4,"55 - 64"
"4171",2015,"Ohio","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",56,"18 - 24"
"4172",2017,"Kansas","Percent of adults aged 18 years and older who have an overweight classification",34.1,"45 - 54"
"4173",2013,"Oklahoma","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",42,"55 - 64"
"4174",2011,"Alaska","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",58.2,"55 - 64"
"4175",2017,"Colorado","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",33.9,"35 - 44"
"4176",2017,"Texas","Percent of adults who engage in no leisure-time physical activity",26.9,"25 - 34"
"4177",2017,"Pennsylvania","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",23,"65 or older"
"4178",2017,"Tennessee","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",29.9,"55 - 64"
"4179",2017,"Montana","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",41.6,"18 - 24"
"4180",2017,"Pennsylvania","Percent of adults who engage in no leisure-time physical activity",25.7,"55 - 64"
"4181",2017,"Vermont","Percent of adults who engage in no leisure-time physical activity",17.9,"18 - 24"
"4182",2017,"Oregon","Percent of adults who engage in no leisure-time physical activity",15.3,"18 - 24"
"4183",2017,"Maine","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",52.3,"55 - 64"
"4184",2017,"Nevada","Percent of adults aged 18 years and older who have obesity",17.4,"18 - 24"
"4185",2017,"Virginia","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",49.2,"35 - 44"
"4186",2017,"New Hampshire","Percent of adults aged 18 years and older who have obesity",28.9,"35 - 44"
"4187",2017,"Tennessee","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",37.4,"65 or older"
"4188",2015,"Washington","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",28.1,"45 - 54"
"4189",2017,"Montana","Percent of adults who engage in no leisure-time physical activity",29.3,"45 - 54"
"4190",2017,"Louisiana","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",35.9,"65 or older"
"4191",2017,"Alaska","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",31.6,"18 - 24"
"4192",2014,"Missouri","Percent of adults aged 18 years and older who have obesity",31,"25 - 34"
"4193",2014,"Missouri","Percent of adults aged 18 years and older who have an overweight classification",32.3,"25 - 34"
"4194",2013,"Ohio","Percent of adults aged 18 years and older who have an overweight classification",36.4,"35 - 44"
"4195",2013,"Maine","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",36.4,"55 - 64"
"4196",2017,"Georgia","Percent of adults aged 18 years and older who have an overweight classification",32.8,"35 - 44"
"4197",2017,"West Virginia","Percent of adults aged 18 years and older who have an overweight classification",31.9,"35 - 44"
"4198",2017,"Virginia","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",54,"25 - 34"
"4199",2015,"Kentucky","Percent of adults aged 18 years and older who have an overweight classification",33.8,"55 - 64"
"4200",2012,"Utah","Percent of adults aged 18 years and older who have obesity",25.6,"65 or older"
"4201",2017,"Minnesota","Percent of adults aged 18 years and older who have an overweight classification",27.5,"18 - 24"
"4202",2014,"New York","Percent of adults aged 18 years and older who have an overweight classification",31,"25 - 34"
"4203",2017,"Kansas","Percent of adults aged 18 years and older who have obesity",35.6,"35 - 44"
"4204",2015,"Utah","Percent of adults who engage in no leisure-time physical activity",12.8,"18 - 24"
"4205",2017,"Alaska","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",34.5,"45 - 54"
"4206",2011,"Virginia","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",53.9,"35 - 44"
"4207",2017,"Alabama","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",39.7,"55 - 64"
"4208",2017,"Texas","Percent of adults aged 18 years and older who have an overweight classification",37.2,"55 - 64"
"4209",2017,"New York","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",23.3,"25 - 34"
"4210",2011,"Idaho","Percent of adults aged 18 years and older who have obesity",28,"35 - 44"
"4211",2015,"South Carolina","Percent of adults aged 18 years and older who have an overweight classification",37.4,"55 - 64"
"4212",2015,"Hawaii","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",55.7,"18 - 24"
"4213",2017,"South Dakota","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",46.7,"45 - 54"
"4214",2013,"Arkansas","Percent of adults aged 18 years and older who have obesity",42.1,"35 - 44"
"4215",2015,"California","Percent of adults who engage in no leisure-time physical activity",17.1,"25 - 34"
"4216",2017,"Arkansas","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",16.6,"65 or older"
"4217",2017,"North Carolina","Percent of adults who engage in no leisure-time physical activity",20.1,"25 - 34"
"4218",2017,"Montana","Percent of adults who engage in no leisure-time physical activity",21.1,"35 - 44"
"4219",2012,"Rhode Island","Percent of adults aged 18 years and older who have obesity",30.1,"35 - 44"
"4220",2017,"Minnesota","Percent of adults aged 18 years and older who have an overweight classification",34.2,"25 - 34"
"4221",2017,"South Carolina","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",45.3,"45 - 54"
"4222",2017,"Rhode Island","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",22.5,"65 or older"
"4223",2015,"Hawaii","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",30.5,"25 - 34"
"4224",2017,"Kentucky","Percent of adults who engage in no leisure-time physical activity",42,"55 - 64"
"4225",2012,"Arkansas","Percent of adults who engage in no leisure-time physical activity",27.3,"25 - 34"
"4226",2015,"Iowa","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",28.9,"18 - 24"
"4227",2017,"Florida","Percent of adults aged 18 years and older who have an overweight classification",39.7,"65 or older"
"4228",2017,"Montana","Percent of adults who engage in no leisure-time physical activity",29.9,"55 - 64"
"4229",2017,"Wisconsin","Percent of adults aged 18 years and older who have an overweight classification",42.1,"65 or older"
"4230",2015,"Colorado","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",58.8,"18 - 24"
"4231",2017,"Delaware","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",31.9,"25 - 34"
"4232",2017,"Pennsylvania","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",48.3,"35 - 44"
"4233",2017,"Idaho","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",33.1,"25 - 34"
"4234",2017,"Kansas","Percent of adults who engage in no leisure-time physical activity",24.8,"35 - 44"
"4235",2017,"North Carolina","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",37,"65 or older"
"4236",2017,"Kentucky","Percent of adults who engage in no leisure-time physical activity",35,"45 - 54"
"4237",2011,"Indiana","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",22.7,"45 - 54"
"4238",2017,"Louisiana","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",30.2,"35 - 44"
"4239",2017,"Arizona","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",25.7,"55 - 64"
"4240",2013,"Ohio","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",48.7,"25 - 34"
"4241",2013,"Missouri","Percent of adults aged 18 years and older who have an overweight classification",37.4,"55 - 64"
"4242",2017,"Illinois","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",55.9,"65 or older"
"4243",2017,"Minnesota","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",27.6,"25 - 34"
"4244",2011,"Pennsylvania","Percent of adults aged 18 years and older who have obesity",33.6,"55 - 64"
"4245",2017,"Nevada","Percent of adults who engage in no leisure-time physical activity",22.4,"25 - 34"
"4246",2011,"Colorado","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",59.4,"25 - 34"
"4247",2014,"Connecticut","Percent of adults aged 18 years and older who have obesity",11.4,"18 - 24"
"4248",2014,"Louisiana","Percent of adults aged 18 years and older who have an overweight classification",30.7,"25 - 34"
"4249",2017,"Nevada","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",26.9,"35 - 44"
"4250",2017,"Arkansas","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",30.7,"55 - 64"
"4251",2017,"Oklahoma","Percent of adults who engage in no leisure-time physical activity",39.5,"65 or older"
"4252",2011,"Arizona","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",26.7,"55 - 64"
"4253",2017,"Florida","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",29.7,"35 - 44"
"4254",2013,"Wyoming","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",27.5,"45 - 54"
"4255",2017,"West Virginia","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",47.6,"65 or older"
"4256",2015,"Florida","Percent of adults who engage in no leisure-time physical activity",28.9,"65 or older"
"4257",2013,"Utah","Percent of adults aged 18 years and older who have an overweight classification",40.2,"65 or older"
"4258",2017,"Vermont","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",39.4,"45 - 54"
"4259",2017,"Utah","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",30.4,"18 - 24"
"4260",2015,"Washington","Percent of adults aged 18 years and older who have an overweight classification",37.2,"45 - 54"
"4261",2011,"Pennsylvania","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",50.3,"65 or older"
"4262",2017,"Alaska","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",56.2,"65 or older"
"4263",2017,"South Carolina","Percent of adults aged 18 years and older who have an overweight classification",34.2,"45 - 54"
"4264",2012,"Ohio","Percent of adults who engage in no leisure-time physical activity",36.5,"65 or older"
"4265",2017,"Arkansas","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",47.1,"35 - 44"
"4266",2013,"Tennessee","Percent of adults aged 18 years and older who have an overweight classification",38.2,"65 or older"
"4267",2017,"Delaware","Percent of adults aged 18 years and older who have obesity",37.4,"55 - 64"
"4268",2011,"New York","Percent of adults who engage in no leisure-time physical activity",28,"55 - 64"
"4269",2011,"New Mexico","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",51.7,"18 - 24"
"4270",2017,"Virginia","Percent of adults aged 18 years and older who have obesity",17.7,"18 - 24"
"4271",2017,"Michigan","Percent of adults who engage in no leisure-time physical activity",25.3,"45 - 54"
"4272",2011,"Nevada","Percent of adults aged 18 years and older who have an overweight classification",37.5,"45 - 54"
"4273",2011,"Massachusetts","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",27.8,"55 - 64"
"4274",2017,"National","Percent of adults who engage in no leisure-time physical activity",22.6,"25 - 34"
"4275",2015,"South Carolina","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",27,"35 - 44"
"4276",2017,"Texas","Percent of adults aged 18 years and older who have obesity",30.6,"25 - 34"
"4277",2017,"Alabama","Percent of adults who engage in no leisure-time physical activity",21.5,"18 - 24"
"4278",2013,"Alabama","Percent of adults aged 18 years and older who have obesity",40,"45 - 54"
"4279",2017,"West Virginia","Percent of adults aged 18 years and older who have obesity",41.9,"35 - 44"
"4280",2012,"Idaho","Percent of adults aged 18 years and older who have obesity",34.2,"45 - 54"
"4281",2017,"North Dakota","Percent of adults aged 18 years and older who have an overweight classification",32.8,"25 - 34"
"4282",2017,"West Virginia","Percent of adults who engage in no leisure-time physical activity",26.1,"35 - 44"
"4283",2012,"Louisiana","Percent of adults aged 18 years and older who have an overweight classification",34,"35 - 44"
"4284",2017,"Alabama","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",17.9,"65 or older"
"4285",2017,"Louisiana","Percent of adults who engage in no leisure-time physical activity",27.4,"25 - 34"
"4286",2017,"Nevada","Percent of adults who engage in no leisure-time physical activity",33.4,"65 or older"
"4287",2017,"South Dakota","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",54.7,"65 or older"
"4288",2017,"Delaware","Percent of adults aged 18 years and older who have obesity",34.6,"45 - 54"
"4289",2017,"Oklahoma","Percent of adults aged 18 years and older who have obesity",31.9,"65 or older"
"4290",2015,"New Mexico","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",58.5,"18 - 24"
"4291",2017,"Wyoming","Percent of adults aged 18 years and older who have obesity",33.4,"55 - 64"
"4292",2017,"North Carolina","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",37.2,"25 - 34"
"4293",2017,"Washington","Percent of adults aged 18 years and older who have obesity",25.1,"25 - 34"
"4294",2017,"Delaware","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",43.6,"18 - 24"
"4295",2017,"National","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",45.6,"18 - 24"
"4296",2011,"District of Columbia","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",57.4,"35 - 44"
"4297",2017,"Tennessee","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",31.8,"18 - 24"
"4298",2017,"Delaware","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",27.5,"45 - 54"
"4299",2015,"Utah","Percent of adults aged 18 years and older who have an overweight classification",37.9,"45 - 54"
"4300",2017,"Mississippi","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",46,"18 - 24"
"4301",2011,"Pennsylvania","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",24.9,"35 - 44"
"4302",2017,"California","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",58.9,"45 - 54"
"4303",2017,"Ohio","Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",33.4,"55 - 64"
"4304",2013,"Colorado","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",30.9,"65 or older"
"4305",2017,"Idaho","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",28.3,"45 - 54"
"4306",2017,"Texas","Percent of adults aged 18 years and older who have an overweight classification",36.4,"35 - 44"
"4307",2017,"Arizona","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",48.8,"25 - 34"
"4308",2017,"New York","Percent of adults who engage in no leisure-time physical activity",24.9,"25 - 34"
"4309",2017,"Alaska","Percent of adults who engage in no leisure-time physical activity",18.8,"35 - 44"
"4310",2011,"Kentucky","Percent of adults who engage in muscle-strengthening activities on 2 or more days a week",22.5,"45 - 54"
"4311",2017,"National","Percent of adults aged 18 years and older who have obesity",28.2,"25 - 34"
"4312",2011,"West Virginia","Percent of adults who engage in no leisure-time physical activity",26.4,"25 - 34"
"4313",2017,"West Virginia","Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)",52.9,"25 - 34"
